"PageLikes","Type","Category","Month","Weekend","Paid","Postlikes"
139441,"Photo",2,12,"0",0,17
139441,"Status",2,12,"0",0,29
139441,"Photo",3,12,"0",0,14
139441,"Photo",2,12,"0",1,147
139441,"Photo",2,12,"0",0,49
139441,"Status",2,12,"1",0,33
139441,"Photo",3,12,"1",1,27
139441,"Photo",3,12,"1",1,14
139441,"Status",2,12,"1",0,31
139441,"Photo",3,12,"0",0,26
139441,"Status",2,12,"0",0,19
139441,"Photo",2,12,"0",0,18
139441,"Photo",2,12,"0",0,14
139441,"Photo",2,12,"0",0,10
138414,"Photo",2,12,"0",1,20
138414,"Status",2,12,"0",0,18
138414,"Photo",3,12,"0",0,12
138414,"Photo",1,12,"0",1,20
138414,"Status",3,12,"0",0,17
138414,"Photo",3,12,"1",0,8
138414,"Photo",2,12,"1",0,12
138414,"Photo",1,12,"1",0,0
138414,"Link",1,12,"1",0,2
138414,"Photo",3,12,"1",0,24
138414,"Status",2,12,"0",0,19
138458,"Status",2,12,"0",0,18
138458,"Status",2,12,"0",0,72
138458,"Photo",3,12,"0",0,17
138895,"Photo",2,12,"0",0,63
138895,"Video",1,12,"0",1,13
138895,"Photo",2,12,"0",0,22
138895,"Photo",2,12,"0",0,11
138895,"Photo",3,12,"0",0,47
138895,"Photo",3,12,"0",0,23
138895,"Photo",1,12,"0",0,17
138895,"Photo",2,12,"1",0,21
138895,"Photo",3,12,"1",0,17
138895,"Photo",1,12,"1",1,8
138895,"Status",2,12,"1",0,31
138895,"Photo",1,12,"1",0,14
138895,"Status",2,12,"0",0,39
138895,"Link",1,12,"0",1,18
138353,"Photo",1,12,"0",0,3
138353,"Link",1,12,"0",1,10
138353,"Photo",1,12,"0",0,11
138353,"Link",1,12,"0",1,10
138353,"Status",1,12,"0",0,36
138353,"Link",1,12,"0",0,8
138353,"Photo",1,12,"0",0,15
138353,"Link",1,12,"0",0,1
138353,"Photo",2,11,"1",0,9
138329,"Photo",1,11,"1",1,28
138329,"Photo",1,11,"1",0,31
138329,"Photo",1,11,"1",0,19
138329,"Photo",1,11,"0",0,13
138329,"Video",1,11,"0",1,14
138329,"Photo",1,11,"0",0,54
138329,"Photo",1,11,"0",0,13
138329,"Photo",1,11,"0",0,11
138329,"Photo",1,11,"0",1,17
138185,"Photo",1,11,"0",1,14
138185,"Photo",1,11,"0",1,10
138185,"Photo",1,11,"0",1,13
138185,"Photo",1,11,"0",1,22
138185,"Photo",1,11,"1",0,7
138185,"Photo",1,11,"1",0,23
138185,"Photo",1,11,"1",0,7
138185,"Photo",1,11,"1",1,70
138185,"Photo",1,11,"0",0,17
137893,"Photo",1,11,"0",0,28
137893,"Photo",1,11,"0",1,9
137893,"Video",1,11,"0",1,84
137893,"Status",3,11,"0",0,44
137893,"Photo",1,11,"0",1,47
137893,"Video",1,11,"0",0,13
137893,"Photo",1,11,"0",1,74
137893,"Photo",1,11,"0",0,0
137177,"Photo",1,11,"1",0,8
137177,"Photo",2,11,"1",0,8
137177,"Photo",1,11,"1",0,7
137177,"Status",2,11,"1",0,13
137177,"Photo",3,11,"0",0,53
137177,"Photo",1,11,"0",0,57
137177,"Photo",3,11,"0",1,19
137177,"Status",3,11,"0",0,16
137177,"Photo",1,11,"0",1,8
137177,"Link",1,11,"0",0,31
137177,"Photo",3,11,"0",0,38
137177,"Photo",1,11,"0",0,6
137059,"Photo",1,11,"0",1,17
137059,"Photo",1,11,"0",0,77
137059,"Photo",2,11,"1",0,13
137059,"Photo",3,11,"1",0,32
137059,"Photo",3,11,"1",0,16
137059,"Photo",2,11,"1",0,22
137059,"Photo",3,10,"0",0,27
137059,"Photo",1,10,"0",0,11
137059,"Photo",2,10,"0",0,26
137020,"Status",2,10,"0",1,61
137020,"Photo",1,10,"0",0,90
137020,"Photo",1,10,"0",1,0
137020,"Photo",2,10,"0",0,95
137020,"Photo",3,10,"0",0,14
137020,"Photo",1,10,"0",0,4
137020,"Photo",1,10,"0",1,9
137020,"Photo",1,10,"0",0,139
137020,"Photo",3,10,"1",0,32
136736,"Status",2,10,"1",0,28
136736,"Photo",3,10,"1",0,16
136736,"Status",2,10,"1",0,50
136736,"Photo",1,10,"0",0,4
136736,"Photo",2,10,"0",0,18
136642,"Photo",2,10,"1",1,16
136642,"Photo",1,10,"1",0,2
136642,"Photo",1,10,"1",1,2
136642,"Photo",1,10,"1",0,26
136642,"Photo",1,10,"1",0,0
136642,"Photo",1,10,"1",0,2
136393,"Photo",1,10,"1",0,2
136393,"Status",2,10,"1",0,40
136393,"Photo",1,10,"1",0,2
136393,"Photo",1,10,"1",0,2
136393,"Photo",1,10,"1",0,2
136393,"Photo",3,10,"1",0,41
136393,"Photo",1,10,"0",0,1
136393,"Photo",1,10,"0",0,1
136393,"Photo",1,10,"0",0,0
136393,"Photo",1,10,"0",0,2
136393,"Photo",1,10,"0",0,3
136393,"Photo",1,10,"0",0,2
136393,"Photo",1,10,"0",0,1
136393,"Photo",1,10,"0",0,4
136393,"Photo",1,10,"0",0,12
136393,"Link",1,10,"0",0,16
136013,"Photo",1,10,"0",0,3
136013,"Status",2,10,"0",0,25
136013,"Photo",1,10,"0",1,19
136013,"Link",1,10,"0",0,44
136013,"Status",3,10,"0",0,36
136013,"Status",2,10,"0",1,90
136013,"Photo",3,10,"0",1,60
136013,"Photo",1,10,"0",1,9
136013,"Photo",1,10,"1",1,14
136013,"Photo",3,10,"1",0,15
135713,"Photo",3,10,"1",0,14
135713,"Status",2,10,"1",0,28
135713,"Link",1,10,"0",1,11
135713,"Photo",1,10,"0",0,41
135713,"Photo",2,10,"0",0,32
135713,"Photo",2,10,"0",1,49
135713,"Photo",1,10,"0",0,25
135713,"Photo",2,10,"0",0,55
135700,"Photo",2,9,"0",0,16
135700,"Photo",2,9,"0",0,30
135700,"Photo",3,9,"0",0,21
135700,"Photo",2,9,"1",0,35
135617,"Photo",2,9,"1",1,13
135617,"Photo",3,9,"1",0,40
135617,"Photo",2,9,"1",0,32
135617,"Photo",3,9,"0",0,98
135617,"Status",2,9,"0",0,41
135428,"Photo",2,9,"0",1,19
135428,"Photo",1,9,"0",1,5
135428,"Photo",3,9,"0",1,64
135428,"Photo",1,9,"0",0,208
135428,"Photo",2,9,"0",1,16
135195,"Photo",3,9,"0",0,26
135195,"Photo",1,9,"0",0,6
135195,"Status",2,9,"1",0,27
135195,"Photo",1,9,"1",0,40
135195,"Photo",2,9,"1",0,34
135195,"Status",2,9,"0",1,22
135195,"Photo",3,9,"0",1,98
135195,"Photo",1,9,"0",0,40
135195,"Photo",2,9,"0",0,42
135195,"Photo",2,9,"0",0,36
134879,"Status",2,9,"0",1,29
134879,"Photo",1,9,"0",0,8
134879,"Photo",3,9,"0",1,44
134879,"Video",1,9,"0",0,121
134879,"Photo",2,9,"0",0,11
134879,"Photo",1,9,"1",0,10
134879,"Photo",2,9,"1",0,35
134879,"Photo",2,9,"1",0,6
134879,"Photo",3,9,"1",1,12
133679,"Photo",2,9,"0",0,15
133679,"Photo",3,9,"0",1,15
133679,"Photo",3,8,"1",0,43
133679,"Photo",2,8,"1",0,7
133594,"Photo",2,8,"1",1,17
133594,"Photo",1,8,"1",0,42
133594,"Photo",2,8,"0",0,43
133594,"Photo",1,8,"0",0,7
133594,"Photo",2,8,"0",0,7
133451,"Photo",1,8,"0",1,2
132817,"Photo",3,8,"0",0,102
132817,"Photo",2,8,"0",1,25
132817,"Photo",1,8,"0",0,5
132817,"Status",2,8,"0",1,15
132817,"Photo",3,8,"0",0,19
132817,"Photo",3,8,"0",0,16
132201,"Photo",1,8,"1",1,3
132201,"Photo",1,8,"1",0,68
132201,"Photo",2,8,"1",0,20
132201,"Photo",3,8,"1",0,11
132201,"Photo",2,8,"0",1,22
132201,"Photo",3,8,"0",1,3
132201,"Photo",3,8,"0",0,21
132201,"Photo",2,8,"0",0,11
132201,"Photo",3,8,"0",1,3
132201,"Photo",3,8,"0",1,31
131956,"Photo",1,8,"0",0,10
131956,"Photo",2,8,"0",0,9
131956,"Status",2,8,"0",0,1
131956,"Photo",1,8,"0",0,10
131956,"Photo",3,8,"1",0,28
131956,"Photo",2,8,"1",0,8
131956,"Photo",3,8,"1",0,27
131808,"Status",2,8,"1",0,11
131808,"Status",2,8,"0",1,54
131808,"Photo",1,8,"0",0,21
131808,"Status",2,7,"0",0,17
131728,"Photo",3,7,"0",1,26
131728,"Photo",1,7,"0",1,11
131728,"Photo",2,7,"0",0,25
131630,"Photo",2,7,"0",0,19
131630,"Photo",3,7,"0",0,20
131630,"Photo",3,7,"0",0,20
131630,"Status",2,7,"0",1,1
131630,"Photo",1,7,"1",0,10
131630,"Photo",2,7,"1",0,21
131300,"Status",2,7,"1",0,1
131300,"Photo",3,7,"1",0,45
131300,"Photo",2,7,"0",0,23
131300,"Photo",1,7,"0",0,25
130791,"Photo",2,7,"0",1,31
130791,"Photo",3,7,"0",0,83
130791,"Photo",1,7,"0",0,22
130791,"Status",2,7,"0",0,79
130791,"Video",1,7,"0",1,76
130791,"Photo",1,7,"0",0,30
130791,"Photo",2,7,"0",0,15
129600,"Photo",2,7,"1",0,19
129600,"Photo",3,7,"1",0,19
129600,"Photo",2,7,"1",1,14
129600,"Photo",1,7,"1",1,10
129600,"Photo",1,7,"0",0,34
129600,"Photo",3,7,"0",0,42
129600,"Status",2,7,"0",1,51
129600,"Photo",3,7,"0",0,58
129600,"Photo",2,7,"0",1,8
129600,"Photo",1,7,"0",1,32
129600,"Photo",1,7,"0",1,10
129600,"Photo",2,7,"0",0,26
129600,"Photo",3,7,"0",0,41
129600,"Photo",2,7,"0",1,15
129600,"Photo",1,7,"1",0,43
128032,"Photo",2,7,"1",0,16
128032,"Photo",2,7,"1",1,9
128032,"Photo",3,7,"1",0,60
128032,"Photo",3,7,"0",1,10
128032,"Photo",1,7,"0",0,24
128032,"Status",2,7,"0",0,13
128032,"Photo",1,7,"0",0,7
128032,"Photo",1,7,"0",1,4
128032,"Photo",2,7,"0",1,28
128032,"Photo",1,7,"0",1,47
127082,"Photo",1,7,"0",1,31
126424,"Photo",3,7,"0",0,27
126424,"Photo",2,7,"0",0,7
126424,"Status",2,7,"0",0,14
126424,"Photo",3,7,"0",1,5
126424,"Video",1,6,"0",0,44
126345,"Photo",1,6,"0",1,5
126345,"Photo",1,6,"0",0,39
126345,"Photo",2,6,"1",0,8
126345,"Photo",2,6,"1",0,17
126345,"Status",2,6,"1",0,13
126141,"Photo",1,6,"1",1,4
126141,"Photo",1,6,"0",0,12
126141,"Status",2,6,"0",0,18
126141,"Photo",1,6,"0",1,3
126141,"Photo",1,6,"0",1,9
126141,"Photo",1,6,"0",0,33
125612,"Photo",1,6,"0",0,5
125612,"Photo",1,6,"0",0,2
125612,"Photo",2,6,"0",0,26
125612,"Photo",1,6,"0",0,5
125612,"Photo",2,6,"0",0,23
125612,"Photo",1,6,"0",0,21
125612,"Photo",1,6,"0",0,7
125612,"Photo",3,6,"1",0,19
125612,"Photo",3,6,"1",0,10
125612,"Photo",2,6,"1",0,16
124940,"Photo",1,6,"1",0,1
124940,"Photo",2,6,"0",0,43
124940,"Photo",3,6,"0",1,16
124940,"Photo",1,6,"0",1,28
124940,"Photo",3,6,"0",1,29
124940,"Photo",1,6,"0",0,7
124940,"Photo",3,6,"0",0,28
124940,"Photo",2,6,"0",0,28
124940,"Photo",3,6,"0",1,26
124940,"Photo",3,6,"0",0,18
124940,"Photo",3,6,"0",0,20
124940,"Photo",1,6,"1",0,3
124940,"Photo",3,6,"1",0,13
124940,"Photo",3,6,"1",0,12
124940,"Photo",3,6,"1",1,14
124940,"Photo",1,6,"0",1,4
124940,"Photo",3,6,"0",0,23
123047,"Photo",3,6,"0",0,17
123047,"Photo",2,6,"0",0,14
123047,"Photo",3,6,"0",0,44
123047,"Photo",2,6,"0",1,49
123047,"Photo",1,6,"0",0,5
123047,"Photo",3,6,"0",0,6
123047,"Photo",3,6,"0",1,14
123047,"Photo",3,6,"1",0,47
123047,"Photo",3,6,"1",1,6
121540,"Photo",3,6,"1",0,10
121540,"Photo",2,5,"1",0,17
120050,"Photo",3,5,"0",1,22
120050,"Photo",3,5,"0",0,58
120050,"Photo",3,5,"0",1,34
120050,"Photo",3,5,"0",0,32
119198,"Photo",3,5,"0",0,26
119198,"Photo",3,5,"0",0,10
119198,"Photo",3,5,"0",0,20
119198,"Status",2,5,"1",0,10
119198,"Photo",2,5,"1",0,37
119198,"Photo",3,5,"0",0,9
119198,"Photo",3,5,"0",0,16
119198,"Photo",3,5,"0",1,44
117764,"Photo",1,5,"0",0,58
117764,"Photo",3,5,"0",0,36
117764,"Photo",3,5,"0",0,17
117764,"Photo",2,5,"0",0,33
117764,"Photo",3,5,"1",1,29
117764,"Link",1,5,"1",0,14
117764,"Photo",3,5,"1",1,20
117764,"Photo",3,5,"1",0,90
117764,"Photo",3,5,"0",0,13
117764,"Photo",3,5,"0",1,23
117764,"Photo",3,5,"0",0,122
116435,"Photo",2,5,"0",0,32
116435,"Photo",3,5,"0",1,33
116435,"Status",1,5,"0",1,39
116435,"Photo",3,5,"0",0,25
116435,"Photo",2,5,"0",0,18
116435,"Photo",1,5,"0",0,38
116435,"Photo",3,5,"1",0,16
116091,"Photo",2,5,"1",0,40
116091,"Photo",2,5,"1",0,29
116091,"Photo",3,5,"1",0,54
116091,"Photo",1,5,"0",0,24
116091,"Photo",3,5,"0",0,18
116091,"Status",2,5,"0",0,36
115893,"Photo",3,4,"0",1,30
115893,"Photo",1,4,"0",0,33
115368,"Photo",3,4,"0",0,32
115368,"Photo",3,4,"0",0,47
115368,"Photo",3,4,"0",1,39
115368,"Photo",1,4,"1",0,9
113028,"Photo",2,4,"1",1,35
113028,"Photo",1,4,"0",0,76
113028,"Status",2,4,"0",1,123
113028,"Link",1,4,"0",1,11
113028,"Photo",1,4,"0",0,26
113028,"Photo",1,4,"0",1,16
111620,"Photo",3,4,"0",1,30
111620,"Photo",3,4,"0",0,13
111620,"Photo",3,4,"0",1,51
111620,"Photo",1,4,"0",1,11
111620,"Photo",3,4,"1",1,128
111620,"Photo",1,4,"1",0,18
109670,"Photo",3,4,"0",0,34
109670,"Photo",1,4,"0",0,22
109670,"Photo",3,4,"0",0,28
109670,"Photo",1,4,"0",0,13
109670,"Photo",3,4,"0",1,38
109670,"Photo",1,4,"0",0,8
109670,"Photo",1,4,"0",1,14
109670,"Photo",1,4,"0",0,5
109670,"Photo",1,4,"0",0,3
109670,"Photo",3,4,"0",1,14
109670,"Photo",2,4,"1",1,109
109670,"Photo",1,4,"1",0,18
109670,"Photo",3,4,"1",0,13
107907,"Photo",3,4,"1",0,21
107907,"Photo",1,4,"0",0,6
107907,"Photo",3,4,"0",1,27
107907,"Photo",1,4,"0",0,11
107907,"Photo",3,4,"0",0,18
107907,"Photo",3,4,"0",0,52
107907,"Photo",3,4,"0",1,26
107907,"Photo",1,4,"0",1,38
107907,"Photo",1,4,"0",1,17
107907,"Link",1,4,"0",0,40
107907,"Photo",3,4,"1",0,24
107907,"Photo",3,4,"1",0,26
107907,"Photo",3,4,"1",0,25
106928,"Photo",3,4,"0",1,9
106928,"Link",1,4,"0",0,7
106928,"Photo",2,4,"0",0,26
106928,"Photo",2,4,"0",0,24
106928,"Photo",3,4,"0",0,15
106928,"Photo",1,4,"0",1,14
104070,"Photo",1,3,"0",1,16
104070,"Photo",1,3,"0",1,29
104070,"Photo",1,3,"0",0,15
104070,"Status",1,3,"0",0,6
104070,"Photo",1,3,"0",0,0
102112,"Photo",1,3,"0",0,11
102112,"Photo",1,3,"0",0,14
102112,"Photo",1,3,"0",0,13
102112,"Photo",1,3,"0",0,7
102112,"Photo",1,3,"1",0,0
102112,"Photo",1,3,"1",0,3
102112,"Photo",1,3,"1",0,6
102112,"Link",3,3,"1",0,15
100732,"Photo",1,3,"1",0,1
100732,"Photo",1,3,"1",0,13
100732,"Photo",1,3,"1",0,0
100732,"Photo",1,3,"1",0,0
100732,"Link",1,3,"1",0,0
100732,"Photo",1,3,"1",0,0
100732,"Photo",1,3,"0",0,1
100732,"Photo",1,3,"0",0,14
100732,"Photo",1,3,"0",0,1
100732,"Photo",1,3,"0",0,4
100732,"Photo",1,3,"0",1,0
100732,"Photo",1,3,"0",0,13
98195,"Link",2,3,"0",0,15
98195,"Photo",1,3,"0",0,9
98195,"Photo",1,3,"0",0,7
98195,"Photo",1,3,"0",1,0
98195,"Photo",3,3,"0",0,97
96749,"Photo",3,3,"0",0,10
96749,"Photo",2,3,"0",0,20
96749,"Photo",1,3,"1",1,7
96749,"Photo",1,3,"1",1,21
96749,"Photo",1,3,"1",1,24
96749,"Photo",1,3,"1",1,6
93684,"Photo",1,2,"0",1,26
93577,"Photo",1,2,"0",0,21
93470,"Photo",1,2,"0",0,29
93363,"Photo",1,2,"0",0,15
93256,"Photo",3,2,"0",0,27
93149,"Photo",3,2,"0",0,70
93042,"Photo",3,2,"0",0,53
92935,"Photo",1,2,"0",1,6
92828,"Photo",1,2,"0",0,18
92721,"Photo",3,2,"0",0,32
92614,"Photo",2,2,"0",1,32
92507,"Photo",3,2,"1",0,181
92400,"Photo",1,2,"1",0,11
92293,"Photo",3,2,"1",1,78
92186,"Photo",3,2,"1",1,34
92079,"Photo",1,2,"0",0,36
91972,"Photo",3,2,"0",0,38
91865,"Photo",2,2,"0",1,21
91758,"Photo",2,2,"0",1,37
91651,"Photo",1,2,"0",0,36
91544,"Photo",3,2,"0",0,61
91437,"Link",1,2,"0",0,13
91330,"Photo",3,2,"0",0,57
91223,"Photo",1,2,"0",0,15
91116,"Photo",3,2,"0",1,42
91009,"Photo",1,2,"1",0,13
86909,"Photo",3,1,"0",1,19
86909,"Photo",1,1,"0",1,47
86909,"Link",1,1,"0",0,5
86909,"Photo",3,1,"0",0,31
86909,"Photo",3,1,"0",0,36
86909,"Photo",2,1,"0",0,99
86491,"Link",1,1,"0",1,2
86491,"Photo",3,1,"0",0,36
86491,"Photo",2,1,"0",0,26
86491,"Photo",3,1,"0",0,24
86491,"Link",1,1,"0",0,2
85979,"Photo",3,1,"1",0,25
85979,"Photo",3,1,"1",0,21
85979,"Photo",3,1,"1",0,80
85979,"Photo",3,1,"1",0,28
85979,"Photo",3,1,"0",0,30
85979,"Photo",3,1,"0",1,46
85979,"Link",1,1,"0",0,9
85093,"Photo",3,1,"1",0,55
85093,"Photo",3,1,"1",0,41
85093,"Photo",3,1,"1",0,26
81370,"Photo",2,1,"0",0,22
81370,"Photo",1,1,"0",0,18
81370,"Photo",3,1,"0",0,38
